"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,3,2,NA,NA,NA,1,1994,2,NA,1,1,0,1,1,10,2,NA,2,NA,NA,1,1,1,3.13545e+11,NA,NA,50,168,1,7.8e+09,1,70,5.8e+09,970,540,430,50,65,425,-9,NA,95,1.55e+10,-9,-9,-9,-9,"Paraguay"
22,1,3,1,13,2,NA,2,1997,1,3,1,7,1,0,2,NA,2,NA,1,2,5,1,1,1,29319419000,NA,NA,70,71,1,8.2e+08,1,15,8e+07,100,63,37,12,40,11,2,3,100,6645463000,8578321660,115548000,2.05e+10,-9,"Paraguay"
15,1,3,2,NA,NA,NA,2,1994,2,NA,2,NA,NA,NA,1,70,2,NA,2,NA,NA,1,1,1,8e+10,NA,NA,40,24,2,NA,NA,NA,NA,250,200,50,150,50,0,0,NA,90,9.6e+09,1.5e+10,-9,-9,-9,"Paraguay"
60,3,1,2,NA,NA,NA,2,1981,2,NA,1,2,1,0,2,NA,2,NA,NA,NA,NA,1,2,6,6e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,4,2,100,3.15e+08,NA,6e+07,NA,NA,"Paraguay"
51,3,1,2,NA,NA,NA,3,2004,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,2,3,9.6e+08,NA,NA,NA,NA,1,4e+07,1,100,0,9,NA,NA,NA,NA,NA,0,NA,-9,212760000,NA,1.8e+08,NA,NA,"Paraguay"
52,2,1,2,NA,NA,NA,5,1994,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,1,2,1.8e+09,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,5e+08,NA,2.4e+07,NA,NA,"Paraguay"
52,2,2,2,NA,NA,NA,2,1945,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,2.1e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,NA,80,5.4e+09,NA,8e+07,NA,NA,"Paraguay"
51,3,1,2,NA,NA,NA,2,2002,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,2,1,3,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,-9,-9,NA,-9,NA,NA,"Paraguay"
50,3,3,1,5,1,1,1,1964,2,NA,1,6,0,30,1,1,2,NA,NA,NA,NA,1,1,6,2.76e+11,NA,NA,NA,NA,2,NA,NA,NA,NA,583,NA,NA,NA,NA,NA,0,NA,90,2.7e+10,NA,5.11e+08,NA,NA,"Paraguay"
50,3,2,2,NA,NA,NA,2,1991,2,NA,1,4,0,33,2,NA,2,NA,NA,NA,NA,1,1,6,8e+09,NA,NA,NA,NA,1,1.2e+11,2,NA,0,35,NA,NA,NA,NA,NA,0,NA,80,3.2e+09,NA,1e+07,NA,NA,"Paraguay"
