"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"68",25,1,2e+06,4e+05,1e+06,120000,1500000,"Ecuador"
"69",17,1,1656894,247239,873153,3531,150000,"Ecuador"
"701",26,1,582000,96559,259000,600,1e+05,"Ecuador"
"712",22,1,7e+05,286288,288384,1523,250000,"Ecuador"
"721",22,1,5e+06,2e+06,6e+05,30000,6e+05,"Ecuador"
"731",20,1,4e+07,3.7e+07,2e+06,5e+05,1e+06,"Ecuador"
"741",15,1,2e+06,6e+05,1300000,9600,170000,"Ecuador"
"751",15,1,59283,20400,16065,2400,20000,"Ecuador"
"762",24,1,131000,66720,36000,1000,50000,"Ecuador"
"77",28,1,1800000,178000,126372,6500,113724,"Ecuador"
"781",15,1,4e+06,650000,2e+06,80000,6e+05,"Ecuador"
"79",26,1,374612,169404,14843,20047,4e+05,"Ecuador"
"801",15,1,13798534,1800910,8305101,63105,2100000,"Ecuador"
"811",25,1,1014337,195489,312990,4552,240000,"Ecuador"
"821",19,1,1026721,627000,292000,11000,290000,"Ecuador"
"831",25,1,2181987,452568,1283806,59683,235981,"Ecuador"
"841",34,1,9e+06,81382,1900000,1000,5e+06,"Ecuador"
"851",17,1,5800000,1e+06,2e+06,125000,4800000,"Ecuador"
"861",22,1,62500,35353,2872,496,55000,"Ecuador"
"871",15,1,111000,57500,71720,15049,750000,"Ecuador"
"881",22,1,1680000,234749,457692,5378,3e+06,"Ecuador"
"891",28,1,1e+06,216000,90000,5000,750000,"Ecuador"
"902",21,1,1800000,408984,827927,1269,2e+06,"Ecuador"
"912",15,1,57703221,4377768,23700000,4e+05,2.5e+07,"Ecuador"
"921",28,1,6e+07,1.3e+07,31500000,450000,4.5e+07,"Ecuador"
"93",25,1,7519427,1083000,4468364,301062,8e+06,"Ecuador"
"94",20,1,1600000,349485,639914,34512,5e+05,"Ecuador"
"961",29,1,6e+06,5e+05,1750000,7000,4600000,"Ecuador"
"972",20,1,1e+06,120000,5e+05,13300,5e+05,"Ecuador"
"982",15,1,8400000,2040000,4200000,80000,2e+06,"Ecuador"
"99",34,1,3e+06,610000,1800000,30000,1e+06,"Ecuador"
"1002",22,1,3859325,1090000,272000,12000,3580000,"Ecuador"
"101",21,1,5e+06,252734,254402,10004,4500000,"Ecuador"
"1021",33,1,1587000,35799,45370,2455,3500000,"Ecuador"
"1031",26,1,702273,240000,66138,18000,488914,"Ecuador"
"311",24,1,6.4676e+10,1.3e+10,1.2e+10,3e+08,9682520000,"Paraguay"
"410",15,1,1.3e+11,8.2e+09,1.04e+11,1.4e+08,3.885e+12,"Paraguay"
"910",15,1,2e+09,6e+08,8e+08,8.4e+07,5e+09,"Paraguay"
"108",20,1,5e+09,8.7e+08,1.5e+09,9e+07,5e+09,"Paraguay"
"143",18,1,5e+10,1.8e+10,7.9e+09,5e+08,3e+10,"Paraguay"
"163",25,1,9e+09,1.5e+09,6.5e+09,1.2e+08,2e+09,"Paraguay"
"182",18,1,1.3e+10,6e+09,4e+09,2e+08,4.5e+09,"Paraguay"
"195",21,1,4.2e+09,1.1e+09,2e+09,9e+07,1.4e+10,"Paraguay"
