"Country.Name","Country.Code","Year","AG.AGR.TRAC.NO","AG.CON.FERT.PT.ZS","AG.CON.FERT.ZS","AG.LND.AGRI.K2","AG.LND.ARBL.HA","AG.LND.ARBL.ZS","AG.LND.CREL.HA","AG.LND.CROP.ZS","AG.LND.EL5M.RU.K2","AG.LND.FRST.K2","AG.LND.IRIG.AG.ZS","AG.LND.PRCP.MM","AG.LND.TOTL.K2","AG.LND.TOTL.RU.K2","AG.PRD.CREL.MT","AG.SRF.TOTL.K2","AG.YLD.CREL.KG","EN.ATM.METH.AG.KT.CE","EN.ATM.NOXE.AG.KT.CE","ER.H2O.FWAG.ZS","NV.AGR.TOTL.CD","NV.AGR.TOTL.ZS","SL.AGR.EMPL.ZS","SP.RUR.TOTL","SL.EMP.TOTL.SP.ZS","SP.POP.65UP.TO","SP.POP.1564.TO","TX.VAL.AGRI.ZS.UN","ER.H2O.FWTL.K3","SL.EMP.TOTL.SP.MA.NE.ZS","SL.EMP.1524.SP.ZS","SL.EMP.1524.SP.NE.ZS","SP.POP.0014.TO","SP.POP.TOTL"
"Cote d'Ivoire","CIV",1990,4830,NA,NA,189300,2430000,7.64150943396226,1115596,11.0062893081761,381.175293,102220,NA,NA,318000,314812.3438,1241131,322460,1112.5,2104.23430787118,1664.910986,NA,3508481538.1937,NA,NA,7441006,NA,325658,6407644,NA,1.1,NA,NA,NA,5534452,12267754
"Croatia","HRV",1990,NA,NA,NA,NA,NA,NA,NA,NA,462.1728821,18500,NA,NA,55910,51019.57031,NA,56540,NA,1759.28873404634,2179.708797,NA,NA,NA,NA,2196936,NA,553319,3280757,NA,NA,NA,NA,NA,945924,4780000
"Cuba","CUB",1990,76702,NA,NA,67410,3391000,31.5735567970205,230425,4.18994413407821,9163.390625,20580,NA,NA,107400,100440.7969,539689,109890,2342.1,8208.52896518861,7265.87362,NA,3735522207.44681,13.994827910428,NA,2818643,NA,936224,7193913,NA,NA,NA,NA,NA,2451944,10582081
"Curacao","CUW",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,NA,NA,444,NA,0,0,NA,NA,NA,NA,22278,NA,10928,94863,NA,NA,NA,NA,NA,39609,145400
"Cyprus","CYP",1990,14600,NA,NA,1606,105600,11.4285714285714,57530,5.51948051948052,72.85275269,1611.1,NA,NA,9240,6949.833984,108500,9250,1886,225.12069616154,182.91342734,73.45,383505505.761844,6.8591767823588,NA,254700,NA,75945,495256,0.52375408835829,0.223,75.2699966430664,NA,NA,195413,766614
"Czech Republic","CZE",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,26290,NA,NA,77270,NA,NA,78870,NA,8913.08653158655,5174.061975,NA,NA,NA,NA,2560605,NA,1310291,6795790,NA,NA,NA,NA,NA,2227274,10333355
"Denmark","DNK",1990,162555,NA,NA,27880,2561000,60.415192262326,1570303,0.235904694503421,4907.316895,5432,NA,NA,42390,33044.11719,9606978,43090,6117.9,5486.88299988925,5847.372024,36.88,4544646608.27974,3.78675168737655,NA,779212,NA,802053,3463436,3.37865218492664,1.246,69.2300033569336,NA,65.0100021362305,875450,5140939
"Djibouti","DJI",1990,8,NA,NA,12990,1000,0.0431406384814495,6,NA,138.9527893,56,NA,NA,23180,21411.55273,10,23200,1666.7,294.310582146787,159.730357306735,NA,12086360.0812509,3.06195760015509,NA,141949,NA,15274,309379,4.74674835106716,NA,NA,NA,NA,265745,590398
"Dominica","DMA",1990,NA,NA,NA,180,5000,6.66666666666667,110,14.6666666666667,3.885168076,500,NA,NA,750,503.7093811,150,750,1363.6,19.7129650148852,21.473110101,NA,34255555.5555555,25.0081116158339,NA,26187,NA,NA,NA,0.962568951430225,NA,NA,NA,NA,NA,70926
"Dominican Republic","DOM",1990,2330,NA,NA,25460,9e+05,18.629683295384,122179,9.23204305526806,780.1712036,11050,NA,NA,48310,42784.17969,488250,48670,3996.2,4240.38028747401,1746.535536,NA,949487009.254806,14.5111624357456,NA,3216406,NA,281825,4121987,NA,NA,NA,NA,NA,2779835,7183647
"Ecuador","ECU",1990,8700,NA,NA,78460,1604000,5.79396041034533,802193,4.77170929056495,3262.497803,146308.5,NA,NA,276840,244458.2344,1382675,283560,1723.6,7280.91754839819,2718.508017,NA,3127253080.03645,21.4276195372751,NA,4588945,NA,433319,5879528,1.40495796801557,NA,NA,NA,NA,3905244,10218091
"Egypt, Arab Rep.","EGY",1990,57000,NA,NA,26480,2284000,2.2944397006379,2283426,0.365663770154202,13035.72363,440,NA,NA,995450,951268.875,13022243,1001450,5702.9,10477.4117975966,8449.867811,NA,7956482772.54374,19.3666392432072,NA,32450532,NA,2587624,31281884,9.52665414567189,NA,67.9000015258789,NA,NA,23542707,57412215
"El Salvador","SLV",1990,NA,NA,NA,14100,550000,26.5444015444015,425367,12.5482625482625,142.2368011,3770,NA,NA,20720,16349.95117,824923,21040,1939.3,1599.73545803496,1088.780729,NA,821100000,17.4242424242424,NA,2667798,NA,228789,2927571,0.803541416162817,NA,NA,NA,NA,2098624,5254984
"Equatorial Guinea","GNQ",1990,NA,NA,NA,3340,130000,4.63458110516934,NA,3.5650623885918,63.61024857,18600,NA,NA,28050,26800.91797,NA,28050,NA,8.34403653265159,8.2696406,NA,NA,NA,NA,278538,NA,17526,225984,NA,NA,NA,NA,NA,183336,426846
